0,1,2,3,4,5,6
20160128,0,800,15,43,0,1
20160283,0,1000,30,30,1,1
20160254,0,500,7,22,0,1
20160408,2,1000,30,26,0,1
20160374,1,1000,15,40,0,1
20160355,1,1000,30,37,0,1
20160234,0,1000,30,36,0,1
20160135,0,800,15,24,1,1
20160035,0,800,15,33,1,1
20160477,2,800,15,46,1,0
28160164,0,1000,15,27,1,0
20160036,0,800,15,29,2,1
20160046,0,800,7,35,0,1
20160099,0,1000,30,22,0,1
20160087,0,1000,30,24,0,0
20160063,0,1000,30,34,0,1
20160201,0,1000,15,30,1,1
20160270,0,800,30,40,1,0
20160220,0,1000,30,29,0,1
20160075,0,1000,15,25,1,1
20160037,0,1000,30,27,0,1
20160305,1,800,15,24,2,1
88160031,0,800,15,33,0,1
20160362,1,800,15,29,0,1
20160342,1,1000,30,25,1,1
20160444,2,1000,30,26,1,0
20160219,0,1000,15,31,0,1
20160029,0,1000,30,31,1,1
20160473,2,800,15,33,1,1
20160381,1,1000,30,25,0,1
20160158,0,800,15,29,0,1
20169083,2,1000,15,38,1,1
20160346,1,1000,30,27,0,1
56160140,0,1000,30,20,0,1
20160214,0,1000,30,27,0,1
20160106,0,1000,30,30,1,1
20197340,1,1000,30,30,1,1
20160347,1,1000,30,31,0,1
20160352,1,1000,15,25,1,1
20160217,0,1000,15,50,0,1
20160415,2,1000,30,36,0,0
20160191,0,1000,30,32,1,1
20160216,0,1000,30,29,1,0
20160206,0,1000,7,26,2,0
20160236,0,1000,30,30,0,1
20160261,0,800,15,51,1,1
20160069,0,300,7,35,1,1
20160026,0,1000,30,29,0,1
20160218,0,800,15,31,0,0
20160225,0,1000,30,33,2,1
20160131,0,1000,15,26,0,1
20160113,0,1000,30,27,1,1
20160168,0,800,30,28,1,1
20160418,2,800,15,25,0,1
20160395,1,800,15,32,0,1
20160042,0,800,15,30,1,1
20160276,0,800,15,44,1,1
20160402,2,1000,15,28,1,1
20160081,0,1000,30,28,0,1
20160315,1,1000,30,24,1,1
20160317,1,1000,30,30,0,1
20160015,0,1000,7,27,0,1
20160289,0,1000,30,34,2,1
20160410,2,1000,15,32,2,1
20160495,2,1000,30,30,0,1
20160230,0,800,15,26,1,1
20160163,0,1000,30,28,0,1
20160085,0,1000,30,37,0,0
20160498,2,800,15,30,1,1
20160485,2,1000,30,26,1,1
20160112,0,1000,30,27,1,0
20160151,0,1000,15,29,1,1
20160154,0,1000,15,30,1,1
20160018,0,1000,15,32,0,1
20160462,2,1000,30,38,0,1
20160111,0,800,15,29,1,1
20160353,1,1000,30,35,0,1
20160141,0,1000,30,28,0,1
20160239,0,1000,15,29,1,1
20160262,0,1000,15,29,0,1
20160359,1,1000,30,32,1,1
20160319,1,1000,30,22,2,1
20160496,2,1000,30,28,0,1
20160401,2,1000,30,26,1,1
20160250,0,1000,15,35,2,0
20160387,1,800,15,46,0,1
20160021,0,1000,30,26,1,1
20160298,0,1000,30,29,0,1
20160271,0,1000,30,29,0,1
20160228,0,800,15,37,2,1
20160385,1,1000,30,29,0,1
20160005,0,1000,30,28,1,0
20160350,1,800,15,29,1,1
20160127,0,1000,15,28,0,1
20160282,0,1000,15,28,2,1
20160288,0,1000,30,38,0,0
20160079,0,1000,30,37,1,0
20160186,0,1000,30,31,0,0
20151038,1,1000,15,30,1,1
20160478,2,1000,30,27,1,1
20160277,0,800,15,37,0,1
20160296,0,1000,30,30,1,0
20790437,2,1000,30,24,0,1
20160184,0,800,15,30,0,1
20160448,2,1000,30,26,1,1
20160082,0,1000,7,25,1,1
20160309,1,1000,30,33,1,1
20160260,0,1000,30,19,0,1
20160013,0,1000,30,26,1,1
20160373,1,800,15,25,0,1
20160088,0,1000,30,27,1,0
20160268,0,1000,15,24,0,1
20160038,0,700,15,33,0,1
20160481,2,1000,15,30,2,1
20160060,0,800,15,39,3,1
20160043,0,1000,7,31,2,1
20160272,0,1000,30,32,1,0
20160052,0,1000,30,35,2,0
20160211,0,1000,15,27,0,1
20160411,2,800,15,27,1,0
20160397,1,1000,30,33,0,1
20160417,2,1000,30,21,1,0
20160125,0,1000,30,33,1,1
20160224,0,1000,15,30,0,1
20160064,0,1000,30,45,1,1
20160454,2,1000,30,26,0,1
20160132,0,800,15,43,0,1
20160189,0,800,15,28,1,1
20160025,0,1000,30,26,1,1
20160045,0,1000,15,24,2,0
20160442,2,1000,15,28,1,1
20168902,0,1000,30,50,2,0
20160203,0,1000,15,36,0,1
20160370,1,1000,30,37,0,1
20160427,2,1000,30,33,1,1
20160100,0,1000,30,31,2,0
20160351,1,1000,30,26,0,1
20160306,1,1000,15,31,0,0
20160488,2,1000,30,35,2,1
20160180,0,1000,30,46,1,1
20160371,1,800,15,36,0,1
20160258,0,1000,15,37,1,0
20160096,0,1000,30,36,1,1
20160468,2,1000,15,41,0,1
20160097,0,1000,15,26,0,1
20160443,2,1000,30,24,0,1
20160171,0,1000,15,38,0,1
20160071,0,800,15,29,1,1
20160307,1,800,15,28,1,1
20160050,0,800,15,50,0,1
20160343,1,1000,15,50,3,1
20182575,1,1000,30,29,1,1
20160209,0,300,7,23,0,1
20160281,0,800,15,42,0,1
20160229,0,800,15,26,0,1
20160150,0,800,15,35,2,1
20160145,0,1000,30,30,0,1
20160336,1,1000,30,34,0,1
20160182,0,300,7,29,0,1
20160358,1,1000,30,26,2,1
20160133,0,1000,30,26,0,1
20160449,2,1000,30,25,0,1
20160499,2,1000,30,38,1,0
20160264,0,1000,15,30,0,1
20160326,1,1000,30,28,2,1
20160205,0,1000,30,20,1,1
20160086,0,1000,30,33,1,1
20160123,0,1000,15,20,1,1
20160483,2,800,15,47,1,1
20160435,2,1000,30,34,2,1
20490461,2,800,15,38,2,1
20160455,2,1000,30,35,0,1
20160386,1,1000,30,26,0,1
90163093,0,800,15,38,0,1
20160084,0,800,15,33,1,1
20160269,0,1000,30,42,0,1
20160121,0,1000,30,34,1,1
20160360,1,1000,30,28,0,1
20160293,0,1000,30,29,1,1
20160059,0,800,15,44,0,0
20160323,1,1000,30,37,1,1
20160259,0,1000,7,25,1,1
20160378,1,1000,30,33,1,1
20420447,2,1000,30,31,1,1
20160044,0,1000,15,30,1,1
20160107,0,1000,30,31,0,1
20160390,1,1000,15,32,0,1
20160465,2,1000,30,42,0,0
20160275,0,1000,30,30,2,1
20160445,2,1000,30,24,0,1
20160040,0,1000,30,21,2,1
20160391,1,1000,15,30,1,1
20160055,0,1000,30,21,0,1
20160422,2,1000,30,33,1,1
20160438,2,1000,30,34,0,1
20160130,0,1000,30,38,2,1
20160292,0,1000,30,41,0,1
20160030,0,1000,30,33,1,1
20160185,0,1000,30,27,0,1
20160372,1,1000,30,18,1,1
20160165,0,1000,15,25,0,1
20160153,0,500,15,23,1,0
20160246,0,1000,30,19,0,0
20160204,0,800,15,27,1,1
20160033,0,1000,30,27,1,1
22169034,0,1000,30,37,1,1
78160129,0,1000,15,34,2,1
20160187,0,1000,30,33,2,1
20160471,2,1000,15,32,0,1
20160451,2,1000,30,38,1,1
20160290,0,800,15,28,0,1
20880425,2,1000,30,27,0,1
20160400,1,1000,30,26,1,1
20160457,2,1000,30,25,1,1
20160149,0,1000,15,26,2,1
20160287,0,1000,30,29,1,1
20160467,2,1000,30,26,0,1
20160179,0,1000,30,21,0,1
20160101,0,1000,7,29,0,1
20160340,1,1000,15,39,0,1
20160450,2,1000,30,29,1,1
20160433,2,800,7,34,2,0
20160337,1,1000,30,31,1,1
20160199,0,1000,30,29,0,1
20160245,0,1000,7,31,1,1
20169466,2,1000,30,49,0,0
20160117,0,1000,30,40,1,1
20160406,2,1000,30,27,1,1
20160267,0,800,15,31,2,0
20160074,0,1000,15,34,1,1
20160335,1,1000,30,38,1,0
20160027,0,800,15,39,2,1
20160167,0,1000,30,28,1,1
20160339,1,1000,15,27,1,0
20160484,2,1000,30,30,1,1
20160176,0,800,15,25,1,1
20160487,2,800,15,46,0,1
20160041,0,1000,15,32,1,0
20160195,0,800,15,21,1,1
20160316,1,1000,15,26,0,1
20160398,1,800,15,39,1,1
90160090,0,800,15,46,0,0
20160474,2,1000,30,30,0,1
20160072,0,800,15,29,0,1
20160089,0,800,15,43,2,1
20160294,0,1000,30,37,0,1
20160244,0,800,15,30,0,0
20160279,0,800,15,36,1,1
20160213,0,1000,30,33,0,0
20160011,0,300,7,29,1,1
20160361,1,1000,30,34,1,1
20160197,0,1000,30,29,1,1
20160253,0,1000,30,28,0,1
20160325,1,1000,15,34,1,1
20160194,0,1000,30,27,0,0
20160119,0,1000,30,35,2,1
20160049,0,1000,30,32,2,1
20160174,0,1000,30,24,1,1
