0,1,2,3,4,5,6,7,8,9,10,,
xqd20160118,PAIDOFF,1000,30,23,0,1,0,0,0,1,,
xqd27160170,PAIDOFF,1000,30,38,0,0,0,1,0,1,,
xqd20160416,COLLECTION_PAIDOFF,800,15,33,0,0,0,1,0,1,,
xqd20160122,PAIDOFF,1000,30,22,0,1,0,0,0,1,,
xqd20160263,PAIDOFF,800,30,23,0,0,0,1,1,0,,
xqd20160114,PAIDOFF,1000,30,33,0,0,0,1,0,1,,
xqd20160493,COLLECTION_PAIDOFF,1000,30,27,1,0,0,0,0,1,,
xqd20160421,COLLECTION_PAIDOFF,1000,15,47,0,1,0,0,1,0,,
xqd20160284,PAIDOFF,1000,30,30,0,1,0,0,0,1,,
xqd20160138,PAIDOFF,1000,15,22,0,0,0,1,0,1,,
xqd20160192,PAIDOFF,1000,30,30,0,1,0,0,0,1,,
xqd20160348,COLLECTION,800,15,40,0,0,0,1,0,1,,
xqd20160183,PAIDOFF,1000,30,35,0,1,0,0,0,1,,
xqd20160128,PAIDOFF,800,15,43,0,1,0,0,0,1,,
xqd20160283,PAIDOFF,1000,30,30,0,0,0,1,0,1,,
xqd20160254,PAIDOFF,500,7,22,0,1,0,0,0,1,,
xqd20160408,COLLECTION_PAIDOFF,1000,30,26,0,1,0,0,0,1,,
xqd20160374,COLLECTION,1000,15,40,0,1,0,0,0,1,,
xqd20160355,COLLECTION,1000,30,37,0,1,0,0,0,1,,
xqd20160234,PAIDOFF,1000,30,36,0,1,0,0,0,1,,
xqd20160135,PAIDOFF,800,15,24,0,0,0,1,0,1,,
xqd20160035,PAIDOFF,800,15,33,0,0,0,1,0,1,,
xqd20160477,COLLECTION_PAIDOFF,800,15,46,0,0,0,1,1,0,,
xqd28160164,PAIDOFF,1000,15,27,0,0,0,1,1,0,,
xqd20160036,PAIDOFF,800,15,29,1,0,0,0,0,1,,
xqd20160046,PAIDOFF,800,7,35,0,1,0,0,0,1,,
xqd20160099,PAIDOFF,1000,30,22,0,1,0,0,0,1,,
xqd20160087,PAIDOFF,1000,30,24,0,1,0,0,1,0,,
xqd20160063,PAIDOFF,1000,30,34,0,1,0,0,0,1,,
xqd20160201,PAIDOFF,1000,15,30,0,0,0,1,0,1,,
xqd20160270,PAIDOFF,800,30,40,0,0,0,1,1,0,,
xqd20160220,PAIDOFF,1000,30,29,0,1,0,0,0,1,,
xqd20160075,PAIDOFF,1000,15,25,0,0,0,1,0,1,,
xqd20160037,PAIDOFF,1000,30,27,0,1,0,0,0,1,,
xqd20160305,COLLECTION,800,15,24,1,0,0,0,0,1,,
xqd88160031,PAIDOFF,800,15,33,0,1,0,0,0,1,,
xqd20160362,COLLECTION,800,15,29,0,1,0,0,0,1,,
xqd20160342,COLLECTION,1000,30,25,0,0,0,1,0,1,,
xqd20160444,COLLECTION_PAIDOFF,1000,30,26,0,0,0,1,1,0,,
xqd20160219,PAIDOFF,1000,15,31,0,1,0,0,0,1,,
xqd20160029,PAIDOFF,1000,30,31,0,0,0,1,0,1,,
xqd20160473,COLLECTION_PAIDOFF,800,15,33,0,0,0,1,0,1,,
xqd20160381,COLLECTION,1000,30,25,0,1,0,0,0,1,,
xqd20160158,PAIDOFF,800,15,29,0,1,0,0,0,1,,
xqd20169083,COLLECTION_PAIDOFF,1000,15,38,0,0,0,1,0,1,,
xqd20160346,COLLECTION,1000,30,27,0,1,0,0,0,1,,
xqd56160140,PAIDOFF,1000,30,20,0,1,0,0,0,1,,
xqd20160214,PAIDOFF,1000,30,27,0,1,0,0,0,1,,
xqd20160106,PAIDOFF,1000,30,30,0,0,0,1,0,1,,
xqd20197340,COLLECTION,1000,30,30,0,0,0,1,0,1,,
xqd20160347,COLLECTION,1000,30,31,0,1,0,0,0,1,,
xqd20160352,COLLECTION,1000,15,25,0,0,0,1,0,1,,
xqd20160217,PAIDOFF,1000,15,50,0,1,0,0,0,1,,
xqd20160415,COLLECTION_PAIDOFF,1000,30,36,0,1,0,0,1,0,,
xqd20160191,PAIDOFF,1000,30,32,0,0,0,1,0,1,,
xqd20160216,PAIDOFF,1000,30,29,0,0,0,1,1,0,,
xqd20160206,PAIDOFF,1000,7,26,1,0,0,0,1,0,,
xqd20160236,PAIDOFF,1000,30,30,0,1,0,0,0,1,,
xqd20160261,PAIDOFF,800,15,51,0,0,0,1,0,1,,
xqd20160069,PAIDOFF,300,7,35,0,0,0,1,0,1,,
xqd20160026,PAIDOFF,1000,30,29,0,1,0,0,0,1,,
xqd20160218,PAIDOFF,800,15,31,0,1,0,0,1,0,,
xqd20160225,PAIDOFF,1000,30,33,1,0,0,0,0,1,,
xqd20160131,PAIDOFF,1000,15,26,0,1,0,0,0,1,,
xqd20160113,PAIDOFF,1000,30,27,0,0,0,1,0,1,,
xqd20160168,PAIDOFF,800,30,28,0,0,0,1,0,1,,
xqd20160418,COLLECTION_PAIDOFF,800,15,25,0,1,0,0,0,1,,
xqd20160395,COLLECTION,800,15,32,0,1,0,0,0,1,,
xqd20160042,PAIDOFF,800,15,30,0,0,0,1,0,1,,
xqd20160276,PAIDOFF,800,15,44,0,0,0,1,0,1,,
xqd20160402,COLLECTION_PAIDOFF,1000,15,28,0,0,0,1,0,1,,
xqd20160081,PAIDOFF,1000,30,28,0,1,0,0,0,1,,
xqd20160315,COLLECTION,1000,30,24,0,0,0,1,0,1,,
xqd20160317,COLLECTION,1000,30,30,0,1,0,0,0,1,,
xqd20160015,PAIDOFF,1000,7,27,0,1,0,0,0,1,,
xqd20160289,PAIDOFF,1000,30,34,1,0,0,0,0,1,,
xqd20160410,COLLECTION_PAIDOFF,1000,15,32,1,0,0,0,0,1,,
xqd20160495,COLLECTION_PAIDOFF,1000,30,30,0,1,0,0,0,1,,
xqd20160230,PAIDOFF,800,15,26,0,0,0,1,0,1,,
xqd20160163,PAIDOFF,1000,30,28,0,1,0,0,0,1,,
xqd20160085,PAIDOFF,1000,30,37,0,1,0,0,1,0,,
xqd20160498,COLLECTION_PAIDOFF,800,15,30,0,0,0,1,0,1,,
xqd20160485,COLLECTION_PAIDOFF,1000,30,26,0,0,0,1,0,1,,
xqd20160112,PAIDOFF,1000,30,27,0,0,0,1,1,0,,
xqd20160151,PAIDOFF,1000,15,29,0,0,0,1,0,1,,
xqd20160154,PAIDOFF,1000,15,30,0,0,0,1,0,1,,
xqd20160018,PAIDOFF,1000,15,32,0,1,0,0,0,1,,
xqd20160462,COLLECTION_PAIDOFF,1000,30,38,0,1,0,0,0,1,,
xqd20160111,PAIDOFF,800,15,29,0,0,0,1,0,1,,
xqd20160353,COLLECTION,1000,30,35,0,1,0,0,0,1,,
xqd20160141,PAIDOFF,1000,30,28,0,1,0,0,0,1,,
xqd20160239,PAIDOFF,1000,15,29,0,0,0,1,0,1,,
xqd20160262,PAIDOFF,1000,15,29,0,1,0,0,0,1,,
xqd20160359,COLLECTION,1000,30,32,0,0,0,1,0,1,,
xqd20160319,COLLECTION,1000,30,22,1,0,0,0,0,1,,
xqd20160496,COLLECTION_PAIDOFF,1000,30,28,0,1,0,0,0,1,,
xqd20160401,COLLECTION_PAIDOFF,1000,30,26,0,0,0,1,0,1,,
xqd20160250,PAIDOFF,1000,15,35,1,0,0,0,1,0,,
xqd20160387,COLLECTION,800,15,46,0,1,0,0,0,1,,
xqd20160021,PAIDOFF,1000,30,26,0,0,0,1,0,1,,
xqd20160298,PAIDOFF,1000,30,29,0,1,0,0,0,1,,
xqd20160271,PAIDOFF,1000,30,29,0,1,0,0,0,1,,
xqd20160228,PAIDOFF,800,15,37,1,0,0,0,0,1,,
xqd20160385,COLLECTION,1000,30,29,0,1,0,0,0,1,,
xqd20160005,PAIDOFF,1000,30,28,0,0,0,1,1,0,,
xqd20160350,COLLECTION,800,15,29,0,0,0,1,0,1,,
xqd20160127,PAIDOFF,1000,15,28,0,1,0,0,0,1,,
xqd20160282,PAIDOFF,1000,15,28,1,0,0,0,0,1,,
xqd20160288,PAIDOFF,1000,30,38,0,1,0,0,1,0,,
xqd20160079,PAIDOFF,1000,30,37,0,0,0,1,1,0,,
xqd20160186,PAIDOFF,1000,30,31,0,1,0,0,1,0,,
xqd20151038,COLLECTION,1000,15,30,0,0,0,1,0,1,,
xqd20160478,COLLECTION_PAIDOFF,1000,30,27,0,0,0,1,0,1,,
xqd20160277,PAIDOFF,800,15,37,0,1,0,0,0,1,,
xqd20160296,PAIDOFF,1000,30,30,0,0,0,1,1,0,,
xqd20790437,COLLECTION_PAIDOFF,1000,30,24,0,1,0,0,0,1,,
xqd20160184,PAIDOFF,800,15,30,0,1,0,0,0,1,,
xqd20160448,COLLECTION_PAIDOFF,1000,30,26,0,0,0,1,0,1,,
xqd20160082,PAIDOFF,1000,7,25,0,0,0,1,0,1,,
xqd20160309,COLLECTION,1000,30,33,0,0,0,1,0,1,,
xqd20160260,PAIDOFF,1000,30,19,0,1,0,0,0,1,,
xqd20160013,PAIDOFF,1000,30,26,0,0,0,1,0,1,,
xqd20160373,COLLECTION,800,15,25,0,1,0,0,0,1,,
xqd20160088,PAIDOFF,1000,30,27,0,0,0,1,1,0,,
xqd20160268,PAIDOFF,1000,15,24,0,1,0,0,0,1,,
xqd20160038,PAIDOFF,700,15,33,0,1,0,0,0,1,,
xqd20160481,COLLECTION_PAIDOFF,1000,15,30,1,0,0,0,0,1,,
xqd20160060,PAIDOFF,800,15,39,0,0,1,0,0,1,,
xqd20160043,PAIDOFF,1000,7,31,1,0,0,0,0,1,,
xqd20160272,PAIDOFF,1000,30,32,0,0,0,1,1,0,,
xqd20160052,PAIDOFF,1000,30,35,1,0,0,0,1,0,,
xqd20160211,PAIDOFF,1000,15,27,0,1,0,0,0,1,,
xqd20160411,COLLECTION_PAIDOFF,800,15,27,0,0,0,1,1,0,,
xqd20160397,COLLECTION,1000,30,33,0,1,0,0,0,1,,
xqd20160417,COLLECTION_PAIDOFF,1000,30,21,0,0,0,1,1,0,,
xqd20160125,PAIDOFF,1000,30,33,0,0,0,1,0,1,,
xqd20160224,PAIDOFF,1000,15,30,0,1,0,0,0,1,,
xqd20160064,PAIDOFF,1000,30,45,0,0,0,1,0,1,,
xqd20160454,COLLECTION_PAIDOFF,1000,30,26,0,1,0,0,0,1,,
xqd20160132,PAIDOFF,800,15,43,0,1,0,0,0,1,,
xqd20160189,PAIDOFF,800,15,28,0,0,0,1,0,1,,
xqd20160025,PAIDOFF,1000,30,26,0,0,0,1,0,1,,
xqd20160045,PAIDOFF,1000,15,24,1,0,0,0,1,0,,
xqd20160442,COLLECTION_PAIDOFF,1000,15,28,0,0,0,1,0,1,,
xqd20168902,PAIDOFF,1000,30,50,1,0,0,0,1,0,,
xqd20160203,PAIDOFF,1000,15,36,0,1,0,0,0,1,,
xqd20160370,COLLECTION,1000,30,37,0,1,0,0,0,1,,
xqd20160427,COLLECTION_PAIDOFF,1000,30,33,0,0,0,1,0,1,,
xqd20160100,PAIDOFF,1000,30,31,1,0,0,0,1,0,,
xqd20160351,COLLECTION,1000,30,26,0,1,0,0,0,1,,
xqd20160306,COLLECTION,1000,15,31,0,1,0,0,1,0,,
xqd20160488,COLLECTION_PAIDOFF,1000,30,35,1,0,0,0,0,1,,
xqd20160180,PAIDOFF,1000,30,46,0,0,0,1,0,1,,
xqd20160371,COLLECTION,800,15,36,0,1,0,0,0,1,,
xqd20160258,PAIDOFF,1000,15,37,0,0,0,1,1,0,,
xqd20160096,PAIDOFF,1000,30,36,0,0,0,1,0,1,,
xqd20160468,COLLECTION_PAIDOFF,1000,15,41,0,1,0,0,0,1,,
xqd20160097,PAIDOFF,1000,15,26,0,1,0,0,0,1,,
xqd20160443,COLLECTION_PAIDOFF,1000,30,24,0,1,0,0,0,1,,
xqd20160171,PAIDOFF,1000,15,38,0,1,0,0,0,1,,
xqd20160071,PAIDOFF,800,15,29,0,0,0,1,0,1,,
xqd20160307,COLLECTION,800,15,28,0,0,0,1,0,1,,
xqd20160050,PAIDOFF,800,15,50,0,1,0,0,0,1,,
xqd20160343,COLLECTION,1000,15,50,0,0,1,0,0,1,,
xqd20182575,COLLECTION,1000,30,29,0,0,0,1,0,1,,
xqd20160209,PAIDOFF,300,7,23,0,1,0,0,0,1,,
xqd20160281,PAIDOFF,800,15,42,0,1,0,0,0,1,,
xqd20160229,PAIDOFF,800,15,26,0,1,0,0,0,1,,
xqd20160150,PAIDOFF,800,15,35,1,0,0,0,0,1,,
xqd20160145,PAIDOFF,1000,30,30,0,1,0,0,0,1,,
xqd20160336,COLLECTION,1000,30,34,0,1,0,0,0,1,,
xqd20160182,PAIDOFF,300,7,29,0,1,0,0,0,1,,
xqd20160358,COLLECTION,1000,30,26,1,0,0,0,0,1,,
xqd20160133,PAIDOFF,1000,30,26,0,1,0,0,0,1,,
xqd20160449,COLLECTION_PAIDOFF,1000,30,25,0,1,0,0,0,1,,
xqd20160499,COLLECTION_PAIDOFF,1000,30,38,0,0,0,1,1,0,,
xqd20160264,PAIDOFF,1000,15,30,0,1,0,0,0,1,,
xqd20160326,COLLECTION,1000,30,28,1,0,0,0,0,1,,
xqd20160205,PAIDOFF,1000,30,20,0,0,0,1,0,1,,
xqd20160086,PAIDOFF,1000,30,33,0,0,0,1,0,1,,
xqd20160123,PAIDOFF,1000,15,20,0,0,0,1,0,1,,
xqd20160483,COLLECTION_PAIDOFF,800,15,47,0,0,0,1,0,1,,
xqd20160435,COLLECTION_PAIDOFF,1000,30,34,1,0,0,0,0,1,,
xqd20490461,COLLECTION_PAIDOFF,800,15,38,1,0,0,0,0,1,,
xqd20160455,COLLECTION_PAIDOFF,1000,30,35,0,1,0,0,0,1,,
xqd20160386,COLLECTION,1000,30,26,0,1,0,0,0,1,,
xqd90163093,PAIDOFF,800,15,38,0,1,0,0,0,1,,
xqd20160084,PAIDOFF,800,15,33,0,0,0,1,0,1,,
xqd20160269,PAIDOFF,1000,30,42,0,1,0,0,0,1,,
xqd20160121,PAIDOFF,1000,30,34,0,0,0,1,0,1,,
xqd20160360,COLLECTION,1000,30,28,0,1,0,0,0,1,,
xqd20160293,PAIDOFF,1000,30,29,0,0,0,1,0,1,,
xqd20160059,PAIDOFF,800,15,44,0,1,0,0,1,0,,
xqd20160323,COLLECTION,1000,30,37,0,0,0,1,0,1,,
xqd20160259,PAIDOFF,1000,7,25,0,0,0,1,0,1,,
xqd20160378,COLLECTION,1000,30,33,0,0,0,1,0,1,,
xqd20420447,COLLECTION_PAIDOFF,1000,30,31,0,0,0,1,0,1,,
xqd20160044,PAIDOFF,1000,15,30,0,0,0,1,0,1,,
xqd20160107,PAIDOFF,1000,30,31,0,1,0,0,0,1,,
xqd20160390,COLLECTION,1000,15,32,0,1,0,0,0,1,,
xqd20160465,COLLECTION_PAIDOFF,1000,30,42,0,1,0,0,1,0,,
xqd20160275,PAIDOFF,1000,30,30,1,0,0,0,0,1,,
xqd20160445,COLLECTION_PAIDOFF,1000,30,24,0,1,0,0,0,1,,
xqd20160040,PAIDOFF,1000,30,21,1,0,0,0,0,1,,
xqd20160391,COLLECTION,1000,15,30,0,0,0,1,0,1,,
xqd20160055,PAIDOFF,1000,30,21,0,1,0,0,0,1,,
xqd20160422,COLLECTION_PAIDOFF,1000,30,33,0,0,0,1,0,1,,
xqd20160438,COLLECTION_PAIDOFF,1000,30,34,0,1,0,0,0,1,,
xqd20160130,PAIDOFF,1000,30,38,1,0,0,0,0,1,,
xqd20160292,PAIDOFF,1000,30,41,0,1,0,0,0,1,,
xqd20160030,PAIDOFF,1000,30,33,0,0,0,1,0,1,,
xqd20160185,PAIDOFF,1000,30,27,0,1,0,0,0,1,,
xqd20160372,COLLECTION,1000,30,18,0,0,0,1,0,1,,
xqd20160165,PAIDOFF,1000,15,25,0,1,0,0,0,1,,
xqd20160153,PAIDOFF,500,15,23,0,0,0,1,1,0,,
xqd20160246,PAIDOFF,1000,30,19,0,1,0,0,1,0,,
xqd20160204,PAIDOFF,800,15,27,0,0,0,1,0,1,,
xqd20160033,PAIDOFF,1000,30,27,0,0,0,1,0,1,,
xqd22169034,PAIDOFF,1000,30,37,0,0,0,1,0,1,,
xqd78160129,PAIDOFF,1000,15,34,1,0,0,0,0,1,,
xqd20160187,PAIDOFF,1000,30,33,1,0,0,0,0,1,,
xqd20160471,COLLECTION_PAIDOFF,1000,15,32,0,1,0,0,0,1,,
xqd20160451,COLLECTION_PAIDOFF,1000,30,38,0,0,0,1,0,1,,
xqd20160290,PAIDOFF,800,15,28,0,1,0,0,0,1,,
xqd20880425,COLLECTION_PAIDOFF,1000,30,27,0,1,0,0,0,1,,
xqd20160400,COLLECTION,1000,30,26,0,0,0,1,0,1,,
xqd20160457,COLLECTION_PAIDOFF,1000,30,25,0,0,0,1,0,1,,
xqd20160149,PAIDOFF,1000,15,26,1,0,0,0,0,1,,
xqd20160287,PAIDOFF,1000,30,29,0,0,0,1,0,1,,
xqd20160467,COLLECTION_PAIDOFF,1000,30,26,0,1,0,0,0,1,,
xqd20160179,PAIDOFF,1000,30,21,0,1,0,0,0,1,,
xqd20160101,PAIDOFF,1000,7,29,0,1,0,0,0,1,,
xqd20160340,COLLECTION,1000,15,39,0,1,0,0,0,1,,
xqd20160450,COLLECTION_PAIDOFF,1000,30,29,0,0,0,1,0,1,,
xqd20160433,COLLECTION_PAIDOFF,800,7,34,1,0,0,0,1,0,,
xqd20160337,COLLECTION,1000,30,31,0,0,0,1,0,1,,
xqd20160199,PAIDOFF,1000,30,29,0,1,0,0,0,1,,
xqd20160245,PAIDOFF,1000,7,31,0,0,0,1,0,1,,
xqd20169466,COLLECTION_PAIDOFF,1000,30,49,0,1,0,0,1,0,,
xqd20160117,PAIDOFF,1000,30,40,0,0,0,1,0,1,,
xqd20160406,COLLECTION_PAIDOFF,1000,30,27,0,0,0,1,0,1,,
xqd20160267,PAIDOFF,800,15,31,1,0,0,0,1,0,,
xqd20160074,PAIDOFF,1000,15,34,0,0,0,1,0,1,,
xqd20160335,COLLECTION,1000,30,38,0,0,0,1,1,0,,
xqd20160027,PAIDOFF,800,15,39,1,0,0,0,0,1,,
xqd20160167,PAIDOFF,1000,30,28,0,0,0,1,0,1,,
xqd20160339,COLLECTION,1000,15,27,0,0,0,1,1,0,,
xqd20160484,COLLECTION_PAIDOFF,1000,30,30,0,0,0,1,0,1,,
xqd20160176,PAIDOFF,800,15,25,0,0,0,1,0,1,,
xqd20160487,COLLECTION_PAIDOFF,800,15,46,0,1,0,0,0,1,,
xqd20160041,PAIDOFF,1000,15,32,0,0,0,1,1,0,,
xqd20160195,PAIDOFF,800,15,21,0,0,0,1,0,1,,
xqd20160316,COLLECTION,1000,15,26,0,1,0,0,0,1,,
xqd20160398,COLLECTION,800,15,39,0,0,0,1,0,1,,
xqd90160090,PAIDOFF,800,15,46,0,1,0,0,1,0,,
xqd20160474,COLLECTION_PAIDOFF,1000,30,30,0,1,0,0,0,1,,
xqd20160072,PAIDOFF,800,15,29,0,1,0,0,0,1,,
xqd20160089,PAIDOFF,800,15,43,1,0,0,0,0,1,,
xqd20160294,PAIDOFF,1000,30,37,0,1,0,0,0,1,,
xqd20160244,PAIDOFF,800,15,30,0,1,0,0,1,0,,
xqd20160279,PAIDOFF,800,15,36,0,0,0,1,0,1,,
xqd20160213,PAIDOFF,1000,30,33,0,1,0,0,1,0,,
xqd20160011,PAIDOFF,300,7,29,0,0,0,1,0,1,,
xqd20160361,COLLECTION,1000,30,34,0,0,0,1,0,1,,
xqd20160197,PAIDOFF,1000,30,29,0,0,0,1,0,1,,
xqd20160253,PAIDOFF,1000,30,28,0,1,0,0,0,1,,
xqd20160325,COLLECTION,1000,15,34,0,0,0,1,0,1,,
xqd20160194,PAIDOFF,1000,30,27,0,1,0,0,1,0,,
xqd20160119,PAIDOFF,1000,30,35,1,0,0,0,0,1,,
xqd20160049,PAIDOFF,1000,30,32,1,0,0,0,0,1,,
xqd20160174,PAIDOFF,1000,30,24,0,0,0,1,0,1,,
