,Loan_ID,loan_status,Principal,terms,age,education,Gender
94,20167095,0,1000,30,33,0,1
95,20160096,0,1000,30,36,1,1
96,20160097,0,1000,15,26,0,1
97,20160098,0,1000,30,34,1,1
98,20160099,0,1000,30,22,0,1
99,20160100,0,1000,30,31,2,0
100,20160101,0,1000,7,29,0,1
101,20160102,0,800,15,38,1,1
102,20160103,0,1000,30,30,1,1
103,20160104,0,1000,15,45,0,1
104,20160105,0,1000,15,35,1,1
105,20160106,0,1000,30,30,1,1
106,20160107,0,1000,30,31,0,1
107,20160108,0,1000,30,31,0,1
108,20160109,0,1000,30,28,1,1
109,20160110,0,1000,7,29,1,1
110,20160111,0,800,15,29,1,1
111,20160112,0,1000,30,27,1,0
112,20160113,0,1000,30,27,1,1
113,20160114,0,1000,30,33,1,1
114,20160115,0,1000,30,28,1,1
115,20160116,0,1000,15,25,0,1
116,20160117,0,1000,30,40,1,1
117,20160118,0,1000,30,23,0,1
118,20160119,0,1000,30,35,2,1
119,20160120,0,800,15,24,1,1
120,20160121,0,1000,30,34,1,1
121,20160122,0,1000,30,22,0,1
122,20160123,0,1000,15,20,1,1
123,20160124,0,1000,15,23,1,1
124,20160125,0,1000,30,33,1,1
125,20160126,0,1000,30,26,1,1
126,20160127,0,1000,15,28,0,1
127,20160128,0,800,15,43,0,1
128,78160129,0,1000,15,34,2,1
129,20160130,0,1000,30,38,2,1
130,20160131,0,1000,15,26,0,1
131,20160132,0,800,15,43,0,1
132,20160133,0,1000,30,26,0,1
133,20160134,0,1000,30,33,1,0
134,20160135,0,800,15,24,1,1
135,20160136,0,1000,30,30,0,1
136,20160137,0,800,15,32,0,0
137,20160138,0,1000,15,22,1,1
138,20160139,0,1000,15,47,0,1
139,56160140,0,1000,30,20,0,1
140,20160141,0,1000,30,28,0,1
141,20160142,0,800,15,35,1,1
142,20160143,0,1000,7,27,0,1
143,20160144,0,800,15,33,1,0
144,20160145,0,1000,30,30,0,1
145,20160146,0,1000,15,31,1,1
146,20160147,0,1000,30,26,1,0
147,20160148,0,300,7,37,3,1
148,20160149,0,1000,15,26,2,1
149,20160150,0,800,15,35,2,1
150,20160151,0,1000,15,29,1,1
151,34160152,0,800,15,23,1,1
152,20160153,0,500,15,23,1,0
153,20160154,0,1000,15,30,1,1
154,20160155,0,1000,30,34,1,1
155,20160156,0,1000,30,36,0,0
156,20160157,0,1000,15,26,2,1
157,20160158,0,800,15,29,0,1
158,12160159,0,1000,15,28,1,0
159,20160160,0,1000,30,27,0,1
160,20160161,0,1000,15,24,0,1
161,20160162,0,800,15,31,2,1
162,20160163,0,1000,30,28,0,1
163,28160164,0,1000,15,27,1,0
164,20160165,0,1000,15,25,0,1
165,20160166,0,1000,30,24,0,1
166,20160167,0,1000,30,28,1,1
167,20160168,0,800,30,28,1,1
168,20160169,0,1000,15,35,0,1
169,27160170,0,1000,30,38,1,1
170,20160171,0,1000,15,38,0,1
171,20160172,0,1000,30,29,1,1
172,20160173,0,800,15,35,0,1
173,20160174,0,1000,30,24,1,1
174,20160175,0,800,15,39,0,1
175,20160176,0,800,15,25,1,1
176,20160177,0,1000,30,38,0,1
177,20160178,0,1000,30,30,1,1
178,20160179,0,1000,30,21,0,1
179,20160180,0,1000,30,46,1,1
180,20160181,0,1000,15,31,0,0
181,20160182,0,300,7,29,0,1
182,20160183,0,1000,30,35,0,1
183,20160184,0,800,15,30,0,1
184,20160185,0,1000,30,27,0,1
185,20160186,0,1000,30,31,0,0
186,20160187,0,1000,30,33,2,1
187,20160188,0,1000,15,34,0,1
188,20160189,0,800,15,28,1,1
189,20160190,0,800,15,42,1,1
190,20160191,0,1000,30,32,1,1
191,20160192,0,1000,30,30,0,1
192,20160193,0,1000,15,25,0,0
193,20160194,0,1000,30,27,0,0
194,20160195,0,800,15,21,1,1
195,20160196,0,1000,30,24,1,1
196,20160197,0,1000,30,29,1,1
197,20160198,0,1000,15,40,1,1
198,20160199,0,1000,30,29,0,1
199,20160200,0,1000,30,29,1,1
200,20160201,0,1000,15,30,1,1
201,20160202,0,1000,30,26,0,0
202,20160203,0,1000,15,36,0,1
203,20160204,0,800,15,27,1,1
204,20160205,0,1000,30,20,1,1
205,20160206,0,1000,7,26,2,0
206,20160207,0,1000,30,26,1,1
207,20160208,0,1000,30,27,1,1
208,20160209,0,300,7,23,0,1
209,20160210,0,1000,30,39,0,1
210,20160211,0,1000,15,27,0,1
211,20160212,0,1000,30,30,0,1
212,20160213,0,1000,30,33,0,0
213,20160214,0,1000,30,27,0,1
214,20160215,0,1000,30,35,0,1
215,20160216,0,1000,30,29,1,0
216,20160217,0,1000,15,50,0,1
217,20160218,0,800,15,31,0,0
218,20160219,0,1000,15,31,0,1
219,20160220,0,1000,30,29,0,1
220,20160221,0,1000,15,35,1,1
221,20160222,0,1000,30,39,1,1
222,20160223,0,1000,30,29,1,1
223,20160224,0,1000,15,30,0,1
224,20160225,0,1000,30,33,2,1
225,20160226,0,1000,30,26,0,1
226,20160227,0,1000,15,25,0,1
227,20160228,0,800,15,37,2,1
228,20160229,0,800,15,26,0,1
229,20160230,0,800,15,26,1,1
230,20160231,0,1000,15,27,1,1
231,20160232,0,1000,7,34,1,0
232,20160233,0,1000,30,37,1,1
233,20160234,0,1000,30,36,0,1
234,20160235,0,800,15,33,0,1
235,20160236,0,1000,30,30,0,1
236,20160237,0,1000,30,30,1,1
237,20160238,0,800,15,36,0,1
238,20160239,0,1000,15,29,1,1
239,20160240,0,1000,15,36,0,1
240,20160241,0,1000,30,32,0,1
241,20160242,0,1000,15,29,0,0
242,20160243,0,800,15,36,2,1
243,20160244,0,800,15,30,0,0
244,20160245,0,1000,7,31,1,1
245,20160246,0,1000,30,19,0,0
246,20160247,0,800,15,26,1,1
247,20160248,0,800,15,34,0,1
248,20160249,0,1000,30,35,0,1
249,20160250,0,1000,15,35,2,0
250,20160251,0,800,15,38,1,1
251,20160252,0,1000,30,29,1,1
252,20160253,0,1000,30,28,0,1
253,20160254,0,500,7,22,0,1
254,20160255,0,1000,30,32,1,1
255,20160256,0,1000,30,31,1,1
256,20160257,0,800,15,28,1,1
257,20160258,0,1000,15,37,1,0
258,20160259,0,1000,7,25,1,1
259,20160260,0,1000,30,19,0,1
260,20160261,0,800,15,51,1,1
261,20160262,0,1000,15,29,0,1
262,20160263,0,800,30,23,1,0
263,20160264,0,1000,15,30,0,1
264,20160265,0,800,15,23,1,1
265,20160266,0,1000,15,34,2,0
266,20160267,0,800,15,31,2,0
267,20160268,0,1000,15,24,0,1
268,20160269,0,1000,30,42,0,1
269,20160270,0,800,30,40,1,0
270,20160271,0,1000,30,29,0,1
271,20160272,0,1000,30,32,1,0
272,20160273,0,1000,30,28,1,1
273,20160274,0,1000,30,35,0,1
274,20160275,0,1000,30,30,2,1
275,20160276,0,800,15,44,1,1
276,20160277,0,800,15,37,0,1
277,20160278,0,1000,30,31,1,1
278,20160279,0,800,15,36,1,1
279,20160280,0,800,30,31,1,1
280,20160281,0,800,15,42,0,1
281,20160282,0,1000,15,28,2,1
282,20160283,0,1000,30,30,1,1
283,20160284,0,1000,30,30,0,1
284,20160285,0,1000,15,24,2,1
285,20160286,0,1000,30,34,2,1
286,20160287,0,1000,30,29,1,1
287,20160288,0,1000,30,38,0,0
288,20160289,0,1000,30,34,2,1
289,20160290,0,800,15,28,0,1
290,20160291,0,1000,15,30,1,0
291,20160292,0,1000,30,41,0,1
292,20160293,0,1000,30,29,1,1
293,20160294,0,1000,30,37,0,1
294,20160295,0,1000,30,36,2,1
295,20160296,0,1000,30,30,1,0
296,20160297,0,800,15,27,1,1
297,20160298,0,1000,30,29,0,1
298,20160299,0,1000,30,40,0,1
299,20160300,0,1000,30,28,1,1
300,20160301,1,1000,15,29,1,1
301,20160302,1,1000,30,37,0,1
302,20160303,1,1000,30,33,0,1
303,20160304,1,800,15,27,1,1
304,20160305,1,800,15,24,2,1
305,20160306,1,1000,15,31,0,0
306,20160307,1,800,15,28,1,1
307,20160308,1,1000,30,40,0,1
308,20160309,1,1000,30,33,1,1
309,20160310,1,800,15,41,1,1
310,20160311,1,1000,30,30,1,1
311,20160312,1,800,15,26,0,0
312,20160313,1,1000,30,27,0,1
313,20160314,1,1000,30,20,0,1
314,20160315,1,1000,30,24,1,1
315,20160316,1,1000,15,26,0,1
316,20160317,1,1000,30,30,0,1
317,20160318,1,1000,15,29,0,1
318,20160319,1,1000,30,22,2,1
319,20160320,1,1000,15,24,2,1
320,20160321,1,1000,30,25,1,1
321,20160322,1,1000,30,28,0,1
322,20160323,1,1000,30,37,1,1
323,20160324,1,800,15,32,1,1
324,20160325,1,1000,15,34,1,1
325,20160326,1,1000,30,28,2,1
326,20160327,1,800,15,35,2,1
327,20160328,1,1000,30,27,1,1
328,20160329,1,1000,30,24,0,0
329,20160330,1,1000,30,44,2,1
330,20160331,1,1000,15,31,1,1
331,20160332,1,800,15,27,1,1
332,20160333,1,1000,30,21,0,1
333,20160334,1,1000,30,30,0,0
334,20160335,1,1000,30,38,1,0
335,20160336,1,1000,30,34,0,1
336,20160337,1,1000,30,31,1,1
337,20160338,1,1000,30,23,0,1
338,20160339,1,1000,15,27,1,0
339,20160340,1,1000,15,39,0,1
340,20160341,1,1000,30,30,0,0
341,20160342,1,1000,30,25,1,1
342,20160343,1,1000,15,50,3,1
343,20160344,1,1000,30,23,0,1
344,20160345,1,800,15,38,2,1
345,20160346,1,1000,30,27,0,1
346,20160347,1,1000,30,31,0,1
347,20160348,1,800,15,40,1,1
348,20160349,1,1000,30,32,0,1
349,20160350,1,800,15,29,1,1
350,20160351,1,1000,30,26,0,1
351,20160352,1,1000,15,25,1,1
352,20160353,1,1000,30,35,0,1
353,20160354,1,1000,30,41,0,1
354,20160355,1,1000,30,37,0,1
355,20160356,1,1000,15,34,1,1
356,20160357,1,1000,30,45,0,1
357,20160358,1,1000,30,26,2,1
358,20160359,1,1000,30,32,1,1
359,20160360,1,1000,30,28,0,1
360,20160361,1,1000,30,34,1,1
361,20160362,1,800,15,29,0,1
362,20160363,1,1000,30,26,0,1
363,20160364,1,1000,15,26,1,1
364,20160365,1,800,15,22,1,1
365,20160366,1,1000,30,27,0,0
366,20160367,1,800,30,33,0,1
367,20160368,1,800,15,28,2,1
368,20160369,1,1000,30,24,1,1
369,20160370,1,1000,30,37,0,1
370,20160371,1,800,15,36,0,1
371,20160372,1,1000,30,18,1,1
372,20160373,1,800,15,25,0,1
373,20160374,1,1000,15,40,0,1
374,20182575,1,1000,30,29,1,1
375,20160376,1,800,15,26,0,0
376,20151038,1,1000,15,30,1,1
377,20160378,1,1000,30,33,1,1
378,20197340,1,1000,30,30,1,1
379,20160380,1,1000,30,32,1,1
380,20160381,1,1000,30,25,0,1
381,20160382,1,800,15,35,0,1
382,20175721,1,1000,15,30,2,1
383,20160384,1,1000,30,26,0,1
384,20160385,1,1000,30,29,0,1
385,20160386,1,1000,30,26,0,1
386,20160387,1,800,15,46,0,1
387,20160388,1,1000,30,36,0,1
388,20160389,1,1000,15,38,2,1
389,20160390,1,1000,15,32,0,1
390,20160391,1,1000,15,30,1,1
391,20125284,1,800,15,35,0,1
392,20160393,1,1000,30,29,1,0
393,20160394,1,1000,30,26,1,1
394,20160395,1,800,15,32,0,1
395,20160396,1,1000,30,25,0,1
396,20160397,1,1000,30,33,0,1
397,20160398,1,800,15,39,1,1
398,20160399,1,1000,30,28,1,1
399,20160400,1,1000,30,26,1,1
400,20160401,2,1000,30,26,1,1
401,20160402,2,1000,15,28,1,1
402,20320403,2,1000,30,39,1,1
403,20160404,2,1000,15,29,2,1
404,20190405,2,800,15,33,0,1
405,20160406,2,1000,30,27,1,1
406,20160407,2,800,15,34,1,1
407,20160408,2,1000,30,26,0,1
408,20110409,2,1000,30,28,0,1
409,20160410,2,1000,15,32,2,1
410,20160411,2,800,15,27,1,0
411,20160412,2,1000,30,21,1,1
412,20160413,2,800,15,39,1,1
413,20169083,2,1000,15,38,1,1
414,20160415,2,1000,30,36,0,0
415,20160416,2,800,15,33,1,1
416,20160417,2,1000,30,21,1,0
417,20160418,2,800,15,25,0,1
418,20160419,2,800,15,29,1,1
419,20160420,2,1000,30,33,0,1
420,20160421,2,1000,15,47,0,0
421,20160422,2,1000,30,33,1,1
422,20160423,2,800,15,23,0,1
423,20160424,2,1000,15,24,1,1
424,20880425,2,1000,30,27,0,1
425,20160426,2,1000,30,32,2,1
426,20160427,2,1000,30,33,1,1
427,20160428,2,1000,30,27,1,0
428,20160429,2,1000,30,35,0,1
429,20160430,2,500,15,37,2,1
430,20160431,2,800,15,28,2,1
431,20160432,2,1000,15,33,1,1
432,20160433,2,800,7,34,2,0
433,20160434,2,1000,30,29,1,1
434,20160435,2,1000,30,34,2,1
435,20160436,2,1000,30,29,2,1
436,20790437,2,1000,30,24,0,1
437,20160438,2,1000,30,34,0,1
438,20160439,2,1000,30,25,1,0
439,20160440,2,1000,30,24,1,1
440,20160441,2,1000,30,30,1,1
441,20160442,2,1000,15,28,1,1
442,20160443,2,1000,30,24,0,1
443,20160444,2,1000,30,26,1,0
444,20160445,2,1000,30,24,0,1
445,20160446,2,1000,15,29,1,1
446,20420447,2,1000,30,31,1,1
447,20160448,2,1000,30,26,1,1
448,20160449,2,1000,30,25,0,1
449,20160450,2,1000,30,29,1,1
450,20160451,2,1000,30,38,1,1
451,20160452,2,800,15,41,1,1
452,20390453,2,1000,15,26,0,1
453,20160454,2,1000,30,26,0,1
454,20160455,2,1000,30,35,0,1
455,20160456,2,1000,15,37,1,1
456,20160457,2,1000,30,25,1,1
457,20160458,2,1000,30,24,1,1
458,20160459,2,1000,30,34,1,1
459,20160460,2,800,15,33,1,1
460,20490461,2,800,15,38,2,1
461,20160462,2,1000,30,38,0,1
462,20160463,2,1000,30,26,1,1
463,20870464,2,1000,15,37,2,1
464,20160465,2,1000,30,42,0,0
465,20169466,2,1000,30,49,0,0
466,20160467,2,1000,30,26,0,1
467,20160468,2,1000,15,41,0,1
468,20160469,2,1000,30,38,0,1
469,25660470,2,1000,30,26,0,1
470,20160471,2,1000,15,32,0,1
471,20160472,2,1000,30,27,2,1
472,20160473,2,800,15,33,1,1
473,20160474,2,1000,30,30,0,1
474,20160475,2,800,15,26,0,0
475,20160476,2,1000,30,35,1,0
476,20160477,2,800,15,46,1,0
477,20160478,2,1000,30,27,1,1
478,20160479,2,1000,15,22,0,1
479,20160480,2,1000,30,27,2,1
480,20160481,2,1000,15,30,2,1
481,20160482,2,1000,15,27,0,1
482,20160483,2,800,15,47,1,1
483,20160484,2,1000,30,30,1,1
484,20160485,2,1000,30,26,1,1
485,20160486,2,1000,30,38,0,1
486,20160487,2,800,15,46,0,1
487,20160488,2,1000,30,35,2,1
488,20160489,2,1000,15,45,1,1
489,20160490,2,1000,30,36,1,1
490,20160491,2,1000,30,38,0,1
491,20160492,2,1000,30,27,1,1
492,20160493,2,1000,30,27,2,1
493,20160494,2,1000,15,29,1,1
494,20160495,2,1000,30,30,0,1
495,20160496,2,1000,30,28,0,1
496,20160497,2,1000,15,26,0,1
497,20160498,2,800,15,30,1,1
498,20160499,2,1000,30,38,1,0
499,20160500,2,1000,30,28,0,1
